iter	Accuracy	MultiClass
143	0.8648648649	0.577203424
144	0.8661518662	0.5744697706
145	0.8664378664	0.5716735938
146	0.8677248677	0.5697178177
147	0.8678678679	0.5682920041
148	0.8695838696	0.5654205631
149	0.87001287	0.562378956
150	0.8705848706	0.5604321982
151	0.8717288717	0.5589677566
152	0.874016874	0.556558049
153	0.8757328757	0.5542015268
154	0.8758758759	0.5517204741
155	0.876018876	0.5493904615
156	0.8771628772	0.547341672
157	0.8775918776	0.5459352082
158	0.8785928786	0.5437447272
159	0.88002288	0.541341153
160	0.8811668812	0.5395379087
161	0.8813098813	0.5370244224
162	0.8813098813	0.536193399
163	0.8824538825	0.5341129721
164	0.8828828829	0.5304857015
165	0.8834548835	0.5296584936
166	0.8843128843	0.5277531175
167	0.8858858859	0.5260530292
168	0.8853138853	0.5243704224
169	0.8868868869	0.5226317977
170	0.887029887	0.5207239138
171	0.8871728872	0.518881985
172	0.888030888	0.516789832
173	0.8888888889	0.5144866022
174	0.8908908909	0.5126390479
175	0.8911768912	0.5111059884
176	0.8933218933	0.5093011838
177	0.8934648935	0.5075105079
178	0.8936078936	0.5059670885
179	0.8944658945	0.5044560649
180	0.8953238953	0.5034579502
181	0.8943228943	0.501789623
182	0.8953238953	0.5007453125
183	0.8954668955	0.4991304595
184	0.8951808952	0.4975540562
185	0.8967538968	0.4961955293
186	0.8978978979	0.4937899398
187	0.8987558988	0.4916742668
188	0.8993278993	0.4901500197
189	0.9001859002	0.4882075357
190	0.9004719005	0.4871651108
191	0.901043901	0.4852152944
192	0.9023309023	0.4825888773
193	0.9031889032	0.48087854
194	0.9027599028	0.4787809162
195	0.9031889032	0.4765295307
196	0.9046189046	0.4754365704
197	0.9057629058	0.473429476
198	0.9056199056	0.4719433753
199	0.9056199056	0.4696704012
200	0.9059059059	0.4685423267
201	0.9067639068	0.4668618059
202	0.9076219076	0.4649944386
203	0.9080509081	0.4637001004
204	0.9093379093	0.4622579016
205	0.9101959102	0.4604373265
206	0.9103389103	0.4584523505
207	0.9106249106	0.4565359434
208	0.9113399113	0.4548452347
209	0.9123409123	0.4537621861
210	0.9114829115	0.4524621965
211	0.9117689118	0.4512334606
212	0.9119119119	0.4501650246
213	0.9127699128	0.4485214128
214	0.9130559131	0.4473428879
215	0.9134849135	0.4459703958
216	0.9136279136	0.445162058
217	0.9144859145	0.4433853868
218	0.9154869155	0.442271841
219	0.9162019162	0.4409178318
220	0.9157729158	0.4396286701
221	0.9162019162	0.4385710577
222	0.9169169169	0.4375473476
223	0.9166309166	0.4365251891
224	0.9169169169	0.4354820005
225	0.9180609181	0.4343186442
226	0.9190619191	0.432952852
227	0.9192049192	0.4316391612
228	0.9190619191	0.4303793512
229	0.9193479193	0.4298384943
230	0.9204919205	0.428472547
231	0.9206349206	0.4266479648
232	0.9209209209	0.4252757274
233	0.9217789218	0.4237591581
234	0.9230659231	0.4222808068
235	0.9233519234	0.4216330566
236	0.9229229229	0.420641919
237	0.9224939225	0.4193072007
238	0.9222079222	0.4185556712
239	0.9230659231	0.4174134987
240	0.9232089232	0.4160817247
241	0.9242099242	0.4142254804
242	0.9247819248	0.4131980708
243	0.9247819248	0.4118541306
244	0.9259259259	0.4106676841
245	0.9257829258	0.4092852002
246	0.9253539254	0.4084584607
247	0.9262119262	0.4076431239
248	0.9273559274	0.4057130358
249	0.9282139282	0.4049701991
250	0.9283569284	0.4034734095
251	0.9292149292	0.4014442588
252	0.9292149292	0.4004822983
253	0.9292149292	0.3999145949
254	0.9303589304	0.3987670036
255	0.9307879308	0.397304886
256	0.9306449306	0.3961185076
257	0.9312169312	0.3952730844
258	0.9309309309	0.394386384
259	0.9316459316	0.3934726753
260	0.9319319319	0.3927058597
261	0.9319319319	0.3914506246
262	0.9326469326	0.3902063701
263	0.9327899328	0.3894639005
264	0.9327899328	0.3879277623
265	0.9330759331	0.3870332183
266	0.9332189332	0.3863551655
267	0.9335049335	0.3858124668
268	0.9342199342	0.3850314383
269	0.9343629344	0.3843078032
270	0.9352209352	0.3835063452
271	0.9353639354	0.3823960141
272	0.9356499356	0.3812657916
273	0.9363649364	0.3800709716
274	0.9369369369	0.3793513575
275	0.9377949378	0.3780333493
276	0.9376519377	0.3770449855
277	0.9377949378	0.376229224
278	0.9375089375	0.3757468098
279	0.9377949378	0.3748870981
280	0.9383669384	0.3739436132
281	0.9382239382	0.3729323729
282	0.9387959388	0.3719502627
283	0.9393679394	0.3706696717
284	0.9397969398	0.369592803
285	0.9402259402	0.3677009914
286	0.9400829401	0.3668809447
287	0.9405119405	0.3661874397
288	0.9412269412	0.3645715805
289	0.9410839411	0.3638928858
290	0.9417989418	0.3631519962
291	0.9423709424	0.3618465541
292	0.9419419419	0.3607819431
293	0.9427999428	0.3596979907
294	0.9429429429	0.3589789375
295	0.9429429429	0.3581513392
296	0.9426569427	0.3572118375
297	0.9423709424	0.3566123128
298	0.9430859431	0.3556282287
299	0.9436579437	0.3548736688
300	0.9440869441	0.3540989255
301	0.9443729444	0.3533955035
302	0.9445159445	0.3520283197
303	0.9442299442	0.3513121114
304	0.9445159445	0.3502848301
305	0.9440869441	0.3495072473
306	0.9445159445	0.3488905956
307	0.9465179465	0.3468785557
308	0.9462319462	0.3457843451
309	0.9458029458	0.3452761147
310	0.9459459459	0.3444591797
311	0.9462319462	0.3438040221
312	0.9463749464	0.3431089393
313	0.9469469469	0.3424671789
314	0.9480909481	0.3416369035
315	0.9483769484	0.3407175261
316	0.9490919491	0.3399056946
317	0.9506649507	0.3383102553
318	0.9505219505	0.3379092491
319	0.9503789504	0.3370646238
320	0.9510939511	0.3358717501
321	0.9510939511	0.3348412212
322	0.9513799514	0.3337858186
323	0.9515229515	0.3329403713
324	0.9513799514	0.3318719934
325	0.9523809524	0.3298106766
326	0.9523809524	0.32903513
327	0.9526669527	0.3284533894
328	0.9532389532	0.3272204019
329	0.9535249535	0.3262617928
330	0.9532389532	0.3256965633
331	0.9536679537	0.3253071231
332	0.9542399542	0.3236962815
333	0.9550979551	0.3232482606
334	0.9556699557	0.3215479071
335	0.9560989561	0.320966058
336	0.9562419562	0.3197382911
337	0.9563849564	0.3194595024
338	0.9566709567	0.3183663201
339	0.9568139568	0.3178208112
340	0.9573859574	0.3172150313
