iter	Passed	Remaining
756	70171	22525
757	70256	22430
758	70344	22335
759	70426	22239
760	70517	22146
761	70603	22051
762	70687	21956
763	70773	21861
764	70865	21769
765	70953	21674
766	71039	21580
767	71129	21487
768	71218	21393
769	71302	21298
770	71390	21204
771	71480	21110
772	71571	21017
773	71655	20922
774	71748	20830
775	71837	20736
776	71922	20641
777	72006	20546
778	72094	20452
779	72178	20357
780	72266	20264
781	72355	20170
782	72441	20076
783	72524	19981
784	72615	19888
785	72700	19793
786	72786	19699
787	72872	19605
788	72961	19511
789	73049	19418
790	73134	19323
791	73221	19229
792	73311	19136
793	73395	19042
794	73479	18947
795	73562	18852
796	73654	18760
797	73743	18666
798	73826	18572
799	73912	18478
800	74000	18384
801	74083	18290
802	74170	18196
803	74262	18103
804	74350	18010
805	74436	17916
806	74515	17820
807	74605	17728
808	74692	17634
809	74787	17542
810	74871	17448
811	74958	17354
812	75048	17262
813	75136	17168
814	75222	17075
815	75311	16981
816	75394	16887
817	75482	16794
818	75568	16700
819	75648	16605
820	75733	16511
821	75832	16421
822	75927	16329
823	76010	16235
824	76096	16141
825	76189	16049
826	76270	15955
827	76351	15860
828	76441	15767
829	76536	15676
830	76622	15582
831	76713	15490
832	76802	15397
833	76884	15303
834	76974	15210
835	77060	15117
836	77147	15023
837	77241	14932
838	77330	14839
839	77420	14746
840	77504	14653
841	77591	14559
842	77682	14467
843	77770	14374
844	77856	14281
845	77940	14187
846	78025	14094
847	78111	14001
848	78198	13908
849	78285	13815
850	78370	13721
851	78459	13629
852	78547	13536
853	78633	13443
854	78724	13350
855	78809	13257
856	78901	13165
857	78987	13072
858	79074	12979
859	79164	12887
860	79256	12795
861	79345	12702
862	79424	12608
863	79512	12515
864	79603	12423
865	79691	12331
866	79778	12238
867	79862	12145
868	79952	12052
869	80035	11959
870	80118	11865
871	80205	11773
872	80293	11680
873	80378	11587
874	80463	11494
875	80542	11400
876	80625	11307
877	80713	11215
878	80796	11122
879	80888	11030
880	80972	10937
881	81057	10844
882	81142	10751
883	81228	10658
884	81313	10566
885	81400	10473
886	81485	10380
887	81572	10288
888	81659	10195
889	81753	10104
890	81839	10011
891	81932	9920
892	82018	9827
893	82105	9735
894	82190	9642
895	82278	9550
896	82369	9458
897	82454	9365
898	82542	9273
899	82641	9182
900	82723	9089
901	82812	8997
902	82891	8904
903	82977	8811
904	83069	8719
905	83154	8627
906	83237	8534
907	83322	8442
908	83414	8350
909	83500	8258
910	83588	8166
911	83677	8074
912	83769	7982
913	83860	7890
914	83952	7798
915	84040	7706
916	84130	7614
917	84223	7523
918	84315	7431
919	84405	7339
920	84491	7247
921	84579	7155
922	84674	7063
923	84767	6972
924	84848	6879
925	84939	6787
926	85027	6695
927	85116	6603
928	85204	6511
929	85292	6419
930	85381	6327
931	85471	6236
932	85556	6143
933	85649	6052
934	85737	5960
935	85833	5868
936	85923	5777
937	86013	5685
938	86097	5593
939	86180	5500
940	86269	5409
941	86352	5316
942	86441	5224
943	86527	5132
944	86613	5041
945	86705	4949
946	86792	4857
947	86879	4765
948	86970	4673
949	87053	4581
950	87139	4489
951	87221	4397
952	87308	4305
953	87401	4214
954	87491	4122
955	87581	4030
956	87668	3939
957	87760	3847
958	87847	3755
959	87934	3663
960	88026	3572
961	88119	3480
962	88207	3389
963	88302	3297
964	88388	3205
965	88475	3114
966	88562	3022
967	88654	2930
968	88739	2838
969	88827	2747
970	88909	2655
971	89002	2563
972	89087	2472
973	89169	2380
974	89256	2288
975	89345	2197
976	89428	2105
977	89513	2013
978	89601	1921
979	89691	1830
980	89779	1738
981	89867	1647
982	89956	1555
983	90051	1464
984	90139	1372
985	90224	1281
986	90311	1189
987	90393	1097
988	90484	1006
989	90579	914
990	90665	823
991	90753	731
992	90842	640
993	90928	548
994	91016	457
995	91106	365
996	91190	274
997	91278	182
998	91359	91
999	91447	0
